symbol,name,currency,price,price_open,day_high,day_low,52_week_high,52_week_low,day_change,change_pct,close_yesterday,market_cap,volume,volume_avg,shares,stock_exchange_long,stock_exchange_short,timezone,timezone_name,gmt_offset,last_trade_time
AAPL,Apple Inc.,USD,172.91,170.32,173.07,169.50,233.47,142.00,0.41,0.24,172.50,815319082067,23990256,27327515,4715280000,NASDAQ Stock Exchange,NASDAQ,EST,America/New_York,-18000,2019-03-08 16:00:01
HSBA.L,HSBC Holdings plc,GBX,624.00,622.30,626.50,620.80,749.90,596.40,-0.20,-0.03,624.20,818878655199,17198034,24470762,20051263049,London Stock Exchange,LSE,GMT,Europe/London,0,2019-03-08 16:35:01
MSFT,Microsoft Corporation,USD,110.51,109.16,110.71,108.80,116.18,87.08,0.12,0.11,110.39,847856275019,22810782,26740932,7672213000,NASDAQ Stock Exchange,NASDAQ,EST,America/New_York,-18000,2019-03-08 16:00:01
AAPL,Apple Inc.,USD,172.91,170.32,173.07,169.50,233.47,142.00,0.41,0.24,172.50,815319082067,23990256,27327515,4715280000,NASDAQ Stock Exchange,NASDAQ,EST,America/New_York,-18000,2019-03-08 16:00:01
HSBA.L,HSBC Holdings plc,GBX,624.00,622.30,626.50,620.80,749.90,596.40,-0.20,-0.03,624.20,818878655199,17198034,24470762,20051263049,London Stock Exchange,LSE,GMT,Europe/London,0,2019-03-08 16:35:01
MSFT,Microsoft Corporation,USD,110.51,109.16,110.71,108.80,116.18,87.08,0.12,0.11,110.39,847856275019,22810782,26740932,7672213000,NASDAQ Stock Exchange,NASDAQ,EST,America/New_York,-18000,2019-03-08 16:00:01
ADBE,Adobe Inc,USD,254.74,251.49,255.02,249.10,277.61,204.95,-0.72,-0.28,255.46,124597157786,2195350,2761724,489115000,NASDAQ Stock Exchange,NASDAQ,EST,America/New_York,-18000,2019-03-08 16:00:01
ALL,Allstate Corp,USD,93.30,92.57,93.39,92.24,102.73,77.00,0.06,0.06,93.24,30972158243,1416141,2182066,331963000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:00:32
AXP,American Express Company,USD,107.98,106.79,108.07,106.68,114.55,89.05,0.12,0.11,107.86,91066944259,2077156,3154953,843369000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:02:12
MMM,3M Co,USD,200.89,198.38,201.17,198.00,243.10,176.87,1.12,0.56,199.77,115672461648,1724488,2179731,575800000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:02:47
ADBE,Adobe Inc,USD,254.74,251.49,255.02,249.10,277.61,204.95,-0.72,-0.28,255.46,124597157786,2195350,2761724,489115000,NASDAQ Stock Exchange,NASDAQ,EST,America/New_York,-18000,2019-03-08 16:00:01
ALL,Allstate Corp,USD,93.30,92.57,93.39,92.24,102.73,77.00,0.06,0.06,93.24,30972158243,1416141,2182066,331963000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:00:32
AXP,American Express Company,USD,107.98,106.79,108.07,106.68,114.55,89.05,0.12,0.11,107.86,91066944259,2077156,3154953,843369000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:02:12
MMM,3M Co,USD,200.89,198.38,201.17,198.00,243.10,176.87,1.12,0.56,199.77,115672461648,1724488,2179731,575800000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:02:47
ADBE,Adobe Inc,USD,254.74,251.49,255.02,249.10,277.61,204.95,-0.72,-0.28,255.46,124597157786,2195350,2761724,489115000,NASDAQ Stock Exchange,NASDAQ,EST,America/New_York,-18000,2019-03-08 16:00:01
ALL,Allstate Corp,USD,93.30,92.57,93.39,92.24,102.73,77.00,0.06,0.06,93.24,30972158243,1416141,2182066,331963000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:00:32
AXP,American Express Company,USD,107.98,106.79,108.07,106.68,114.55,89.05,0.12,0.11,107.86,91066944259,2077156,3154953,843369000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:02:12
MMM,3M Co,USD,200.89,198.38,201.17,198.00,243.10,176.87,1.12,0.56,199.77,115672461648,1724488,2179731,575800000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:02:47
ADBE,Adobe Inc,USD,254.74,251.49,255.02,249.10,277.61,204.95,-0.72,-0.28,255.46,124597157786,2195350,2761724,489115000,NASDAQ Stock Exchange,NASDAQ,EST,America/New_York,-18000,2019-03-08 16:00:01
ALL,Allstate Corp,USD,93.30,92.57,93.39,92.24,102.73,77.00,0.06,0.06,93.24,30972158243,1416141,2182066,331963000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:00:32
AXP,American Express Company,USD,107.98,106.79,108.07,106.68,114.55,89.05,0.12,0.11,107.86,91066944259,2077156,3154953,843369000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:02:12
MMM,3M Co,USD,200.89,198.38,201.17,198.00,243.10,176.87,1.12,0.56,199.77,115672461648,1724488,2179731,575800000,New York Stock Exchange,NYSE,EST,America/New_York,-18000,2019-03-08 16:02:47
ADBE,Adobe Inc,USD,254.74,251.49,255.02,249.10,277.61,204.95,-0.72,-0.28,255.46,124597157786,2195350,2761724,489115000,NASDAQ Stock Exchange,NASDAQ,EST,America/New_York,-18000,2019-03-08 16:00:01
