symbol,name,currency,price,price_open,day_high,day_low,52_week_high,52_week_low,day_change,change_pct,close_yesterday,market_cap,volume,volume_avg,shares,stock_exchange_long,stock_exchange_short,timezone,timezone_name,gmt_offset,last_trade_time
ADBE,Adobe Inc,USD,257.82,255.98,258.79,255.77,277.61,204.95,3.08,1.21,254.74,125883525161,364861,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 10:32:27
ALL,Allstate Corp,USD,93.96,93.55,93.96,93.39,102.73,77.00,0.66,0.71,93.30,31154736428,172407,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 10:40:49
AMZN,"Amazon.com, Inc.",USD,1643.50,1626.12,1647.69,1626.01,2050.50,1307.00,22.70,1.40,1620.80,808412387537,900918,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 10:38:04
AXP,American Express Company,USD,109.27,109.01,109.30,108.71,114.55,89.05,1.29,1.19,107.98,92264526126,367722,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 10:32:53
MMM,3M Co,USD,204.62,201.88,204.95,201.66,243.10,176.87,3.69,1.84,200.93,117820193188,365569,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 10:32:56
AAPL,Apple Inc.,USD,177.74,175.49,177.79,175.35,233.47,142.00,4.82,2.79,172.91,837009326898,7844257,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 10:40:03
FB,"Facebook, Inc. Common Stock",USD,173.48,171.60,174.30,171.58,218.62,123.02,3.88,2.29,169.60,494416490999,4991687,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 10:36:18
JPM,JPMorgan Chase & Co.,USD,104.23,103.98,104.43,103.66,119.24,91.11,1.22,1.18,103.01,341175902207,1455124,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 10:38:50
V,Visa Inc Class A,USD,149.27,148.11,149.42,148.02,151.56,116.03,1.92,1.30,147.35,327955304856,878789,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 10:31:11
XLNX,"Xilinx, Inc.",USD,120.01,120.50,121.30,119.84,127.70,62.54,1.38,1.16,118.63,30334110402,836862,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 10:30:25
ADBE,Adobe Inc,USD,258.58,255.98,260.09,255.77,277.61,204.95,3.84,1.51,254.74,126507785645,702321,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:27:30
ALL,Allstate Corp,USD,93.80,93.55,94.14,93.39,102.73,77.00,0.50,0.54,93.30,31138139793,388782,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 11:44:14
AMZN,"Amazon.com, Inc.",USD,1655.18,1626.12,1655.53,1626.01,2050.50,1307.00,34.38,2.12,1620.80,813279866288,1354015,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:29:23
AXP,American Express Company,USD,109.72,109.01,109.79,108.71,114.55,89.05,1.74,1.61,107.98,92525968333,678358,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 11:40:43
MMM,3M Co,USD,205.75,201.88,205.90,201.66,243.10,176.87,4.82,2.40,200.93,118539943188,671580,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 11:44:27
AAPL,Apple Inc.,USD,178.61,175.49,178.62,175.35,233.47,142.00,5.70,3.30,172.91,841111669423,11854092,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:29:37
FB,"Facebook, Inc. Common Stock",USD,172.96,171.60,174.30,171.58,218.62,123.02,3.36,1.98,169.60,493226399883,7374454,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:40:02
JPM,JPMorgan Chase & Co.,USD,104.39,103.98,104.50,103.66,119.24,91.11,1.38,1.34,103.01,341863514800,2824553,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 11:42:37
V,Visa Inc Class A,USD,149.97,148.11,150.00,148.02,151.56,116.03,2.62,1.78,147.35,329185653652,1821267,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 11:38:41
XLNX,"Xilinx, Inc.",USD,121.24,120.50,121.72,119.76,127.70,62.54,2.61,2.20,118.63,30693602819,1585555,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:42:05
ADBE,Adobe Inc,USD,259.15,255.98,260.09,255.77,277.61,204.95,4.40,1.73,254.74,126631870514,793642,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:44:02
ALL,Allstate Corp,USD,93.76,93.55,94.14,93.39,102.73,77.00,0.46,0.49,93.30,31134819452,401301,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 11:51:03
AMZN,"Amazon.com, Inc.",USD,1657.49,1626.12,1658.73,1626.01,2050.50,1307.00,36.69,2.26,1620.80,813068682576,1612129,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:58:32
AXP,American Express Company,USD,109.68,109.01,109.79,108.71,114.55,89.05,1.69,1.56,107.99,92483803764,824178,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:01:06
MMM,3M Co,USD,205.75,201.88,205.90,201.66,243.10,176.87,4.82,2.40,200.93,118459331539,671580,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 11:44:27
AAPL,Apple Inc.,USD,178.80,175.49,178.91,175.35,233.47,142.00,5.89,3.41,172.91,842761974254,12737995,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:43:56
FB,"Facebook, Inc. Common Stock",USD,172.85,171.60,174.30,171.58,218.62,123.02,3.25,1.92,169.60,493254924095,7878742,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:56:21
JPM,JPMorgan Chase & Co.,USD,104.45,103.98,104.50,103.66,119.24,91.11,1.44,1.40,103.01,341437847483,3025868,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 11:57:02
V,Visa Inc Class A,USD,149.91,148.11,150.00,148.02,151.56,116.03,2.56,1.74,147.35,329185653652,2075488,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 11:55:09
XLNX,"Xilinx, Inc.",USD,120.94,120.50,121.72,119.76,127.70,62.54,2.31,1.95,118.63,30617654778,1713509,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:58:31
ADBE,Adobe Inc,USD,259.95,255.98,260.09,255.77,277.61,204.95,5.21,2.05,254.74,127157675110,886095,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:09:12
ALL,Allstate Corp,USD,93.88,93.55,94.14,93.39,102.73,77.00,0.58,0.62,93.30,31164694916,427155,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:08:43
AMZN,"Amazon.com, Inc.",USD,1657.49,1626.12,1658.73,1626.01,2050.50,1307.00,36.69,2.26,1620.80,813582011297,1612129,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:58:32
AXP,American Express Company,USD,109.68,109.01,109.79,108.71,114.55,89.05,1.69,1.56,107.99,92530182860,824178,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:01:06
MMM,3M Co,USD,205.83,201.88,205.91,201.66,243.10,176.87,4.90,2.44,200.93,118459331539,729861,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:01:00
AAPL,Apple Inc.,USD,178.63,175.49,178.91,175.35,233.47,142.00,5.72,3.31,172.91,842337616322,13771971,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:00:38
FB,"Facebook, Inc. Common Stock",USD,172.85,171.60,174.30,171.58,218.62,123.02,3.25,1.92,169.60,493254924095,8318269,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:11:14
JPM,JPMorgan Chase & Co.,USD,104.45,103.98,104.50,103.66,119.24,91.11,1.44,1.40,103.01,341994462457,3025868,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 11:57:02
V,Visa Inc Class A,USD,149.97,148.11,150.11,148.02,151.56,116.03,2.62,1.78,147.35,329537191458,2265544,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:09:46
XLNX,"Xilinx, Inc.",USD,120.94,120.50,121.72,119.76,127.70,62.54,2.31,1.95,118.63,30617654778,1713509,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 11:58:31
ADBE,Adobe Inc,USD,259.96,255.98,260.33,255.77,277.61,204.95,5.21,2.05,254.74,127130777367,968804,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:25:50
ALL,Allstate Corp,USD,93.72,93.55,94.14,93.39,102.73,77.00,0.42,0.45,93.30,31108261797,449606,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:23:57
AMZN,"Amazon.com, Inc.",USD,1656.98,1626.12,1658.73,1626.01,2050.50,1307.00,36.18,2.23,1620.80,814176107895,1850070,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:31:41
AXP,American Express Company,USD,109.59,109.01,109.79,108.71,114.55,89.05,1.60,1.48,107.99,92420547258,947063,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:16:30
MMM,3M Co,USD,205.92,201.88,206.04,201.66,243.10,176.87,4.99,2.48,200.93,118580253405,831935,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:32:18
AAPL,Apple Inc.,USD,178.73,175.49,178.98,175.35,233.47,142.00,5.82,3.36,172.91,842007584135,15339971,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:25:57
FB,"Facebook, Inc. Common Stock",USD,173.02,171.60,174.30,171.58,218.62,123.02,3.42,2.01,169.60,493711572787,8639856,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:27:47
JPM,JPMorgan Chase & Co.,USD,104.14,103.98,104.50,103.66,119.24,91.11,1.11,1.08,103.03,341241401016,3461940,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:30:31
V,Visa Inc Class A,USD,149.93,148.11,150.11,148.02,151.56,116.03,2.58,1.75,147.35,329449290245,2483106,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:18:07
XLNX,"Xilinx, Inc.",USD,121.18,120.50,121.72,119.76,127.70,62.54,2.55,2.15,118.63,30640438610,1871458,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:27:45
ADBE,Adobe Inc,USD,259.96,255.98,260.33,255.77,277.61,204.95,5.21,2.05,254.74,127130777367,968804,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:25:50
ALL,Allstate Corp,USD,93.72,93.55,94.14,93.39,102.73,77.00,0.42,0.45,93.30,31108261797,449606,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:23:57
AMZN,"Amazon.com, Inc.",USD,1656.98,1626.12,1658.73,1626.01,2050.50,1307.00,36.18,2.23,1620.80,814176107895,1850070,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:31:41
AXP,American Express Company,USD,109.59,109.01,109.79,108.71,114.55,89.05,1.60,1.48,107.99,92420547258,947063,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:16:30
MMM,3M Co,USD,205.92,201.88,206.04,201.66,243.10,176.87,4.99,2.48,200.93,118580253405,831935,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:32:18
AAPL,Apple Inc.,USD,178.73,175.49,178.98,175.35,233.47,142.00,5.82,3.36,172.91,842007584135,15339971,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:25:57
FB,"Facebook, Inc. Common Stock",USD,173.02,171.60,174.30,171.58,218.62,123.02,3.42,2.01,169.60,493711572787,8639856,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:27:47
JPM,JPMorgan Chase & Co.,USD,104.14,103.98,104.50,103.66,119.24,91.11,1.11,1.08,103.03,341241401016,3461940,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:30:31
V,Visa Inc Class A,USD,149.93,148.11,150.11,148.02,151.56,116.03,2.58,1.75,147.35,329449290245,2483106,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 12:18:07
XLNX,"Xilinx, Inc.",USD,121.18,120.50,121.72,119.76,127.70,62.54,2.55,2.15,118.63,30640438610,1871458,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 12:27:45
ADBE,Adobe Inc,USD,260.96,255.98,261.46,255.77,277.61,204.95,6.22,2.44,254.74,127639446220,2699908,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ALL,Allstate Corp,USD,94.11,93.55,94.16,93.39,102.73,77.00,0.81,0.87,93.30,31241047543,1980259,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:24
AMZN,"Amazon.com, Inc.",USD,1670.62,1626.12,1672.29,1626.01,2050.50,1307.00,49.82,3.07,1620.80,820613553461,3868207,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
AXP,American Express Company,USD,109.56,109.01,109.79,108.71,114.55,89.05,1.58,1.46,107.98,92399461756,3289211,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:57
MMM,3M Co,USD,207.10,201.88,207.16,201.66,243.10,176.87,6.17,3.07,200.93,119248183514,2384637,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:31
AAPL,Apple Inc.,USD,178.90,175.49,179.12,175.35,233.47,142.00,5.99,3.46,172.91,843563563220,31975688,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
